# MASS_BEST   SFR_BEST     
  10.5611     0.234124     
  9.81285     -0.205687    
  10.5197     -0.0742501   
  10.9886     0.725405     
  10.5781     0.149042     
  9.50708     -1.19457     
  10.2185     -0.0446549   
  10.2583     -1.95046     
  8.4612      -5.90431     
  10.3798     -0.649242    
  10.2378     -0.647062    
  10.481      0.0607447    
  10.7381     0.144154     
  10.5889     0.0999474    
  10.557      0.298477     
  10.5949     -0.32607     
  10.4839     0.110034     
  10.8133     1.2549       
  10.724      -7.9691      
  10.7128     0.303666     
  10.7588     0.495621     
  10.6762     0.0287694    
  10.4885     0.114517     
  10.8574     0.300169     
  11.5683     1.58685      
  10.6051     0.341881     
  11.6941     1.70997      
  11.067      0.36358      
  9.13404     -1.37769     
  10.5593     0.130233     
  10.7189     0.384703     
  10.6905     0.096562     
  10.4843     -0.00467368  
  10.9148     0.138643     
  10.8815     0.250931     
  10.8009     0.482126     
  9.90418     -0.138274    
  10.5571     0.160016     
  10.6413     0.409649     
  11.3876     1.49898      
  10.4479     -0.19954     
  10.7943     0.273934     
  10.3008     -0.017984    
  10.7255     0.259291     
  10.3679     -0.0523767   
  10.8582     0.00949267   
  10.3796     -0.104222    
  10.6312     -0.663269    
  10.6856     -0.23546     
  9.6769      -0.95365     
  10.4356     -2.13213     
  11.1673     0.354845     
  10.996      0.512091     
  10.6795     -0.132962    
  10.915      0.564504     
  10.1768     -0.416206    
  8.93667     -1.57506     
  10.5512     0.104872     
  10.5825     0.969302     
  10.4207     0.0489324    
  10.1962     -0.396859    
  10.6919     -0.441442    
  10.6049     0.0109747    
  10.5939     0.110019     
  10.6275     -0.34421     
  10.3342     0.0710531    
  9.7121      0.2376       
  10.4048     0.197491     
  11.2099     0.288845     
  10.3214     -12.6192     
  10.6651     -0.0907038   
  10.283      -1.13806     
  10.2464     -0.0500914   
  10.9651     0.498949     
  10.9268     0.8897       
  10.9954     0.901015     
  10.0968     -15.0979     
  10.7387     0.580315     
  10.3321     0.376196     
  10.7165     -0.846712    
  10.5933     -0.324512    
  10.8981     0.601669     
  11.0207     0.536865     
  10.3907     0.0719443    
  11.4948     1.31183      
  10.834      0.460149     
  10.9887     0.669967     
  10.6634     -0.185252    
  11.2598     1.36877      
  10.5587     -1.43491     
  10.6855     -5.7595      
  10.3268     0.00807867   
  11.3385     1.15669      
  10.6495     0.0922667    
  9.99541     -7.74702     
  10.6725     -0.176151    
  10.5033     -0.791113    
  10.6253     -0.884191    
  10.6864     -29.6049     
  10.9412     -0.192097    
  10.419      -0.574125    
  10.8991     0.572144     
  9.88752     -1.96267     
  10.808      0.341846     
  10.8263     0.905696     
  11.2161     1.24732      
  10.4853     -0.43576     
  11.5015     1.12979      
  10.4799     -12.4607     
  9.86517     0.0646163    
  11.2506     0.97106      
  11.0161     1.25338      
  10.6369     0.227783     
  10.3087     -16.9675     
  11.1122     1.20979      
  11.4321     1.48926      
  10.7313     0.242306     
  9.52856     -4.4769      
  10.6594     0.0119686    
  11.8546     1.93844      
  10.844      0.838327     
  10.6893     -0.0505713   
  10.9115     0.853882     
  10.6456     -16.6305     
  10.6017     -0.154106    
  10.6693     0.342329     
  11.5118     1.60931      
  10.1752     -3.11098     
  10.6898     -9.08601     
  10.7033     0.219407     
  10.1217     -6.32332     
  10.3101     -1.36057     
  10.9989     -0.349256    
  10.4333     -5.37358     
  11.4868     1.61232      
  10.9355     -99.0        
  10.3291     -0.0999557   
  10.5257     -1.09127     
  10.7263     0.732321     
  11.1678     0.73874      
  10.9232     0.664663     
  10.6717     -0.730271    
  10.5685     -0.133131    
  10.643      0.271294     
  10.4321     0.168925     
  10.9592     0.203464     
  11.418      1.68201      
  10.5477     0.340368     
  11.1402     0.71999      
  10.4484     -6.44012     
  10.2762     -0.641592    
  10.6083     -8.80671     
  11.3436     0.993144     
  11.0472     -11.6181     
  10.8492     0.812146     
  10.6991     -0.040746    
  12.6518     2.3722       
  10.061      -3.22518     
  10.5607     0.466369     
  10.7673     1.17175      
  11.7794     1.8106       
  10.5089     0.0625841    
  10.3384     -0.254608    
  10.2187     -1.12944     
  9.76592     -2.22768     
  10.3311     0.410538     
  10.568      0.0846103    
  8.79998     -10.2415     
  10.9745     -0.266268    
  11.2278     0.148341     
  10.9573     0.749953     
  10.177      -0.416079    
  10.3982     -8.6432      
  10.2209     -0.0422912   
  10.1483     -0.260766    
  10.134      -0.294999    
  10.3894     -0.531643    
  10.5825     0.116296     
  10.8848     0.10864      
  11.2784     1.16994      
  12.3657     1.34008      
  10.5838     -6.66557     
  10.5848     0.0462211    
  10.8294     0.345546     
  10.2479     0.216178     
